TABLE_NAME,COLUMN_NAME
authors,author_id
authors,first_name
authors,last_name
authors,bio
authors,honorific
books,book_id
books,title
books,genre
books,price
books,stock
books,publisher_id
books,author_id
books,isbn
books,publication_date
customers,customer_id
customers,last_name
customers,first_name
customers,email
customers,phone
customers,street_address
customers,city
customers,state
customers,zip_code
invoices,invoice_id
invoices,vendor_id
invoices,invoice_number
invoices,invoice_date
invoices,invoice_total
invoices,terms
invoices,invoice_due_date
invoices,payment_date
orderdetails,order_detail_id
orderdetails,order_id
orderdetails,book_id
orderdetails,quantity
orderdetails,unit_price
orderdetails,subtotal
orderdetails,update_date
orders,order_id
orders,customer_id
orders,order_date
orders,total_amount
orders,status
payments,payment_id
payments,order_id
payments,payment_date
payments,amount
payments,payment_method
payments,transaction_id
publishers,publisher_id
publishers,name
publishers,street_address
publishers,city
publishers,state
publishers,zip_code
publishers,contact_email
publishers,contact_phone
shipments,shipment_id
shipments,invoice_id
shipments,tracking_number
shipments,shipment_date
shipments,delivery_date
shipments,carrier_name
vendors,vendor_id
vendors,vendor_name
vendors,contact_first_name
vendors,contact_last_name
vendors,phone
vendors,email
vendors,street_address
vendors,city
vendors,state
vendors,zip_code
